              LEXEME	             LINE_NO	            TOKENAME	      VALUE (if num)	              PARENT	            IS LEAF?	         NODE SYMBOL
                 EPS	              0	                ----	                 EPS	        one_more_opt	                 YES	                 EPS
                ----	              0	                ----	                ----	            opt_expr	                NOPE	        one_more_opt
                ----	              0	                ----	                ----	          expression	                NOPE	arithmeticOrBooleanExpression
                 EPS	              0	                ----	                 EPS	         opt_expr_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	arithmeticOrBooleanExpression	                NOPE	         opt_expr_lr
                ----	              0	                ----	                ----	        lvalueIDStmt	                NOPE	          expression
                   ;	             49	                ----	             SEMICOL	        lvalueIDStmt	                 YES	             SEMICOL
                ----	              0	                ----	                ----	      assignmentStmt	                NOPE	           whichStmt
                ----	              0	                ----	                ----	           statement	                NOPE	          simpleStmt
                ----	              0	                ----	                ----	          statements	                NOPE	           statement
                ----	              0	                ----	                ----	          statements	                NOPE	          statements
               while	             50	                ----	               WHILE	       iterativeStmt	                 YES	               WHILE
                ----	              0	                ----	                ----	           statement	                NOPE	       iterativeStmt
                   (	             50	                ----	                  BO	       iterativeStmt	                 YES	                  BO
                   i	             50	                ----	                  ID	                 var	                 YES	                  ID
                ----	              0	                ----	                ----	              factor	                NOPE	                 var
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId
                ----	              0	                ----	                ----	                term	                NOPE	              factor
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	                term
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr
                ----	              0	                ----	                ----	            opt_expr	                NOPE	      arithmeticExpr
                 EPS	              0	                ----	                 EPS	   arithmeticExpr_lr	                 YES	                 EPS
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	   arithmeticExpr_lr
                ----	              0	                ----	                ----	arithmeticOrBooleanExpression	                NOPE	            opt_expr
