              LEXEME	             LINE_NO	      VALUE (if num)	            TOKENAME	              PARENT	            IS LEAF?	         NODE SYMBOL         RULE_NUMBER
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr                  76
                ----	              0	                ----	                ----	           unary_opt	                NOPE	      arithmeticExpr                  74
                 EPS	              0	                ----	                 EPS	   arithmeticExpr_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	   arithmeticExpr_lr                  73
                   )	             12	                ----	                  BC	           unary_opt	                 YES	                  BC                   0
                ----	              0	                ----	                ----	        lvalueIDStmt	                NOPE	          expression                  57
                   ;	             12	                ----	             SEMICOL	        lvalueIDStmt	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	      assignmentStmt	                NOPE	           whichStmt                  45
                ----	              0	                ----	                ----	           statement	                NOPE	          simpleStmt                  42
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  29
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  26
                   [	             13	                ----	                SQBO	            optional	                 YES	                SQBO                   0
                ----	              0	                ----	                ----	     moduleReuseStmt	                NOPE	            optional                  52
              R1_abc	             13	                ----	                  ID	              idList	                 YES	                  ID                   0
                ----	              0	                ----	                ----	            optional	                NOPE	              idList                  56
                   ,	             13	                ----	               COMMA	           idList_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	              idList	                NOPE	           idList_lr                  54
              r2_ABC	             13	                ----	                  ID	           idList_lr	                 YES	                  ID                   0
                   ,	             13	                ----	               COMMA	           idList_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	           idList_lr	                NOPE	           idList_lr                  54
              R3_abc	             13	                ----	                  ID	           idList_lr	                 YES	                  ID                   0
                 EPS	              0	                ----	                 EPS	           idList_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	           idList_lr	                NOPE	           idList_lr                  55
                   ]	             13	                ----	                SQBC	            optional	                 YES	                SQBC                   0
                  :=	             13	                ----	            ASSIGNOP	            optional	                 YES	            ASSIGNOP                   0
                ----	              0	                ----	                ----	          simpleStmt	                NOPE	     moduleReuseStmt                  51
                 use	             13	                ----	                 USE	     moduleReuseStmt	                 YES	                 USE                   0
              module	             13	                ----	              MODULE	     moduleReuseStmt	                 YES	              MODULE                   0
             compute	             13	                ----	                  ID	     moduleReuseStmt	                 YES	                  ID                   0
                with	             13	                ----	                WITH	     moduleReuseStmt	                 YES	                WITH                   0
          parameters	             13	                ----	          PARAMETERS	     moduleReuseStmt	                 YES	          PARAMETERS                   0
              var_1_	             13	                ----	                  ID	              idList	                 YES	                  ID                   0
                ----	              0	                ----	                ----	     moduleReuseStmt	                NOPE	              idList                  56
                   ,	             13	                ----	               COMMA	           idList_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	              idList	                NOPE	           idList_lr                  54
              var_2_	             13	                ----	                  ID	           idList_lr	                 YES	                  ID                   0
                   ,	             13	                ----	               COMMA	           idList_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	           idList_lr	                NOPE	           idList_lr                  54
              var_34	             13	                ----	                  ID	           idList_lr	                 YES	                  ID                   0
                 EPS	              0	                ----	                 EPS	           idList_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	           idList_lr	                NOPE	           idList_lr                  55
                   ;	             13	                ----	             SEMICOL	     moduleReuseStmt	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	           statement	                NOPE	          simpleStmt                  43
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  29
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  26
                 EPS	              0	                ----	                 EPS	          statements	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  27
                 end	             15	                ----	                 END	           moduleDef	                 YES	                 END                   0
                  <<	             16	                ----	                 DEF	              module	                 YES	                 DEF                   0
                ----	              0	                ----	                ----	        otherModules	                NOPE	              module                   8
              module	             16	                ----	              MODULE	              module	                 YES	              MODULE                   0
             compute	             16	                ----	                  ID	              module	                 YES	                  ID                   0
                  >>	             16	                ----	              ENDDEF	              module	                 YES	              ENDDEF                   0
               takes	             17	                ----	               TAKES	              module	                 YES	               TAKES                   0
               input	             17	                ----	               INPUT	              module	                 YES	               INPUT                   0
                   [	             17	                ----	                SQBO	              module	                 YES	                SQBO                   0
                   a	             17	                ----	                  ID	         input_plist	                 YES	                  ID                   0
                ----	              0	                ----	                ----	              module	                NOPE	         input_plist                  13
                   :	             17	                ----	               COLON	         input_plist	                 YES	               COLON                   0
             integer	             17	                ----	             INTEGER	            datatype	                 YES	             INTEGER                   0
                ----	              0	                ----	                ----	         input_plist	                NOPE	            datatype                  17
                   ,	             17	                ----	               COMMA	      input_plist_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	         input_plist	                NOPE	      input_plist_lr                  11
                   b	             17	                ----	                  ID	      input_plist_lr	                 YES	                  ID                   0
                   :	             17	                ----	               COLON	      input_plist_lr	                 YES	               COLON                   0
             integer	             17	                ----	             INTEGER	            datatype	                 YES	             INTEGER                   0
                ----	              0	                ----	                ----	      input_plist_lr	                NOPE	            datatype                  17
                   ,	             17	                ----	               COMMA	      input_plist_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	      input_plist_lr	                NOPE	      input_plist_lr                  11
                   c	             17	                ----	                  ID	      input_plist_lr	                 YES	                  ID                   0
                   :	             17	                ----	               COLON	      input_plist_lr	                 YES	               COLON                   0
             integer	             17	                ----	             INTEGER	            datatype	                 YES	             INTEGER                   0
                ----	              0	                ----	                ----	      input_plist_lr	                NOPE	            datatype                  17
                 EPS	              0	                ----	                 EPS	      input_plist_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	      input_plist_lr	                NOPE	      input_plist_lr                  12
                   ]	             17	                ----	                SQBC	              module	                 YES	                SQBC                   0
                   ;	             17	                ----	             SEMICOL	              module	                 YES	             SEMICOL                   0
             returns	             18	                ----	             RETURNS	                 ret	                 YES	             RETURNS                   0
                ----	              0	                ----	                ----	              module	                NOPE	                 ret                   9
                   [	             18	                ----	                SQBO	                 ret	                 YES	                SQBO                   0
               res_1	             18	                ----	                  ID	        output_plist	                 YES	                  ID                   0
                ----	              0	                ----	                ----	                 ret	                NOPE	        output_plist                  16
                   :	             18	                ----	               COLON	        output_plist	                 YES	               COLON                   0
             boolean	             18	                ----	             BOOLEAN	                type	                 YES	             BOOLEAN                   0
                ----	              0	                ----	                ----	        output_plist	                NOPE	                type                  24
                   ,	             18	                ----	               COMMA	     output_plist_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	        output_plist	                NOPE	     output_plist_lr                  14
             res_2_a	             18	                ----	                  ID	     output_plist_lr	                 YES	                  ID                   0
                   :	             18	                ----	               COLON	     output_plist_lr	                 YES	               COLON                   0
             integer	             18	                ----	             INTEGER	                type	                 YES	             INTEGER                   0
                ----	              0	                ----	                ----	     output_plist_lr	                NOPE	                type                  22
                   ,	             18	                ----	               COMMA	     output_plist_lr	                 YES	               COMMA                   0
                ----	              0	                ----	                ----	     output_plist_lr	                NOPE	     output_plist_lr                  14
            res_2__b	             18	                ----	                  ID	     output_plist_lr	                 YES	                  ID                   0
                   :	             18	                ----	               COLON	     output_plist_lr	                 YES	               COLON                   0
                real	             18	                ----	                REAL	                type	                 YES	                REAL                   0
                ----	              0	                ----	                ----	     output_plist_lr	                NOPE	                type                  23
                 EPS	              0	                ----	                 EPS	     output_plist_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	     output_plist_lr	                NOPE	     output_plist_lr                  15
                   ]	             18	                ----	                SQBC	                 ret	                 YES	                SQBC                   0
                   ;	             18	                ----	             SEMICOL	                 ret	                 YES	             SEMICOL                   0
               start	             19	                ----	               START	           moduleDef	                 YES	               START                   0
                ----	              0	                ----	                ----	              module	                NOPE	           moduleDef                  25
             declare	             20	                ----	             DECLARE	         declareStmt	                 YES	             DECLARE                   0
                ----	              0	                ----	                ----	           statement	                NOPE	         declareStmt                  92
                   b	             20	                ----	                  ID	              idList	                 YES	                  ID                   0
                ----	              0	                ----	                ----	         declareStmt	                NOPE	              idList                  56
                 EPS	              0	                ----	                 EPS	           idList_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	              idList	                NOPE	           idList_lr                  55
                   :	             20	                ----	               COLON	         declareStmt	                 YES	               COLON                   0
             boolean	             20	                ----	             BOOLEAN	            datatype	                 YES	             BOOLEAN                   0
                ----	              0	                ----	                ----	         declareStmt	                NOPE	            datatype                  19
                   ;	             20	                ----	             SEMICOL	         declareStmt	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  30
                ----	              0	                ----	                ----	           moduleDef	                NOPE	          statements                  26
             res_2_a	             21	                ----	                  ID	      assignmentStmt	                 YES	                  ID                   0
                ----	              0	                ----	                ----	          simpleStmt	                NOPE	      assignmentStmt                  44
                  :=	             21	                ----	            ASSIGNOP	        lvalueIDStmt	                 YES	            ASSIGNOP                   0
                ----	              0	                ----	                ----	           whichStmt	                NOPE	        lvalueIDStmt                  47
                   -	             21	                ----	               MINUS	     unaryExpression	                 YES	               MINUS                   0
                ----	              0	                ----	                ----	          expression	                NOPE	     unaryExpression                  59
                   (	             21	                ----	                  BO	           unary_opt	                 YES	                  BO                   0
                ----	              0	                ----	                ----	     unaryExpression	                NOPE	           unary_opt                  61
                   a	             21	                ----	                  ID	                 var	                 YES	                  ID                   0
                ----	              0	                ----	                ----	              factor	                NOPE	                 var                  35
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId                  39
                ----	              0	                ----	                ----	                term	                NOPE	              factor                  79
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	                term                  77
                   *	             21	                ----	                 MUL	                 op2	                 YES	                 MUL                   0
                ----	              0	                ----	                ----	             term_lr	                NOPE	                 op2                  82
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr                  75
                   b	             21	                ----	                  ID	                 var	                 YES	                  ID                   0
                ----	              0	                ----	                ----	              factor	                NOPE	                 var                  35
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId                  39
                ----	              0	                ----	                ----	             term_lr	                NOPE	              factor                  79
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	             term_lr	                NOPE	             term_lr                  76
                ----	              0	                ----	                ----	           unary_opt	                NOPE	      arithmeticExpr                  74
                   -	             21	                ----	               MINUS	                 op1	                 YES	               MINUS                   0
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	                 op1                  81
                ----	              0	                ----	                ----	      arithmeticExpr	                NOPE	   arithmeticExpr_lr                  72
                   c	             21	                ----	                  ID	                 var	                 YES	                  ID                   0
                ----	              0	                ----	                ----	              factor	                NOPE	                 var                  35
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId                  39
                ----	              0	                ----	                ----	                term	                NOPE	              factor                  79
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	                term                  77
                   /	             21	                ----	                 DIV	                 op2	                 YES	                 DIV                   0
                ----	              0	                ----	                ----	             term_lr	                NOPE	                 op2                  83
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr                  75
                   5	             21	                   5	                 NUM	                 var	                 YES	                 NUM                   0
                ----	              0	                ----	                ----	              factor	                NOPE	                 var                  36
                ----	              0	                ----	                ----	             term_lr	                NOPE	              factor                  79
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	             term_lr	                NOPE	             term_lr                  76
                 EPS	              0	                ----	                 EPS	   arithmeticExpr_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	   arithmeticExpr_lr                  73
                   )	             21	                ----	                  BC	           unary_opt	                 YES	                  BC                   0
                ----	              0	                ----	                ----	        lvalueIDStmt	                NOPE	          expression                  57
                   ;	             21	                ----	             SEMICOL	        lvalueIDStmt	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	      assignmentStmt	                NOPE	           whichStmt                  45
                ----	              0	                ----	                ----	           statement	                NOPE	          simpleStmt                  42
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  29
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  26
            res_2__b	             22	                ----	                  ID	      assignmentStmt	                 YES	                  ID                   0
                ----	              0	                ----	                ----	          simpleStmt	                NOPE	      assignmentStmt                  44
